manuscript_section,page_or_location,table_or_figure,claim_or_metric,displayed_value,source_file,source_row,source_full_precision,rounding,generating_script,canonical_lineage,PASS_FAIL
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=modis; target_year=2025; contrast=2y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000043,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=1y_vs_2y,4.267309856508349e-05,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,1,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=1y_vs_2y,1.0,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=1y_vs_2y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000296,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=1y_vs_3y,-0.000296494725426,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,1,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=1y_vs_3y,1.0,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=1y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000339,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=2y_vs_3y,-0.0003391678239911,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.213202,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=2y_vs_3y,0.213201988613908,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2024; contrast=2y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000311,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=1y_vs_2y,-0.0003113462327793,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.470375,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=1y_vs_2y,0.4703754188176818,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=1y_vs_2y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,-0.000182,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=1y_vs_3y,-0.0001821029537023,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.470375,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=1y_vs_3y,0.4703754188176818,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=1y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,mean_difference_RMSE,0.000129,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=2y_vs_3y,0.000129243279077,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,Holm_adjusted_p,0.205749,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=2y_vs_3y,0.2057489652144984,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 5; Figure 1,Table 5; Figure 1,paired_block_n,35,repo/Data/Additional Sensitivity Analysis/Canonical Primary Nonoverlap 20260830/block_contrasts.csv,AOI=AOI-03; sensor=sentinel2; target_year=2025; contrast=2y_vs_3y,35,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/34_promote_nonoverlap_primary.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,target_identity_retention,1.0,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=landsat; primary_history=W2022,1.0,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_NDVI_abs_mean,0.004543,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=landsat; primary_history=W2022,0.0045432823414869,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_RMSE_operational,-0.000890,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=landsat; primary_history=W2022,-0.0008902094751242,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,history_changed,False,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=landsat; primary_history=W2022,False,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,rolling_origin_direction_changed,False,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=landsat; primary_history=W2022,False,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,target_identity_retention,1.0,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=modis; primary_history=W2023,1.0,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_NDVI_abs_mean,0.001550,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=modis; primary_history=W2023,0.0015497338595616,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_RMSE_operational,-0.000283,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=modis; primary_history=W2023,-0.0002827079820195,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,history_changed,False,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=modis; primary_history=W2023,False,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,rolling_origin_direction_changed,False,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=modis; primary_history=W2023,False,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,target_identity_retention,1.0,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=sentinel2; primary_history=W2022,1.0,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_NDVI_abs_mean,0.006829,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=sentinel2; primary_history=W2022,0.0068287567708807,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_RMSE_operational,0.000217,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=sentinel2; primary_history=W2022,0.0002169204677767,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,history_changed,False,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=sentinel2; primary_history=W2022,False,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,rolling_origin_direction_changed,False,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-00; sensor=sentinel2; primary_history=W2022,False,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,target_identity_retention,1.0,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-01; sensor=landsat; primary_history=W2023,1.0,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
Results,Table 6,Table 6,delta_NDVI_abs_mean,0.000252,repo/Data/Additional Sensitivity Analysis/New Nonoverlap Primary/Aggregation Order/summaries/aggregation_configuration_summary.csv,AOI=AOI-01; sensor=landsat; primary_history=W2023,0.0002519097630041,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,Code/scripts/35_phase1_nonoverlap_sensitivity.py,canonical_nonoverlap_primary_20260830 / final_phase1_sensitivities,PASS
